t,targetX,targetY,targetTheta,posX,posY,posTheta
0.010000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.020000,0.002000,0.000000,0.010000,0.000000,-0.000002,-0.000016
0.030000,0.004000,0.000000,0.020000,-0.000001,-0.000003,-0.000022
0.040000,0.006000,0.000000,0.030000,-0.000002,-0.000004,-0.000027
0.050000,0.008000,0.000000,0.040000,-0.000004,-0.000004,-0.000032
0.060000,0.010000,0.000000,0.050000,-0.000005,-0.000005,-0.000037
0.070000,0.012000,0.000000,0.060000,-0.000007,-0.000006,-0.000042
0.080000,0.014000,0.000000,0.070000,-0.000009,-0.000007,-0.000047
0.090000,0.016000,0.000000,0.080000,-0.000011,-0.000007,-0.000052
0.100000,0.018000,0.000000,0.090000,-0.000013,-0.000008,-0.000057
0.110000,0.020000,0.000000,0.100000,-0.000014,-0.000009,-0.000062
0.120000,0.022000,0.000000,0.110000,-0.000008,-0.000018,0.001376
0.130000,0.024000,0.000000,0.120000,0.000017,-0.000025,0.004341
0.140000,0.026000,0.000000,0.130000,0.000046,-0.000029,0.008452
0.150000,0.028000,0.000000,0.140000,0.000089,-0.000033,0.013341
0.160000,0.030000,0.000000,0.150000,0.000152,-0.000030,0.019053
0.170000,0.032000,0.000000,0.160000,0.000235,-0.000027,0.025925
0.180000,0.034000,0.000000,0.170000,0.000335,-0.000024,0.033659
0.190000,0.036000,0.000000,0.180000,0.000450,-0.000019,0.042156
0.200000,0.038000,0.000000,0.190000,0.000581,-0.000014,0.051348
0.210000,0.040000,0.000000,0.200000,0.000723,-0.000014,0.061153
0.220000,0.042000,0.000000,0.210000,0.000874,-0.000016,0.071527
0.230000,0.044000,0.000000,0.220000,0.001037,-0.000020,0.082404
0.240000,0.046000,0.000000,0.230000,0.001217,-0.000028,0.093715
0.250000,0.048000,0.000000,0.240000,0.001414,-0.000041,0.105424
0.260000,0.050000,0.000000,0.250000,0.001628,-0.000057,0.117482
0.270000,0.052000,0.000000,0.260000,0.001853,-0.000073,0.129740
0.280000,0.054000,0.000000,0.270000,0.002082,-0.000085,0.142211
0.290000,0.056000,0.000000,0.280000,0.002306,-0.000079,0.155023
0.300000,0.058000,0.000000,0.290000,0.002543,-0.000067,0.168124
0.310000,0.060000,0.000000,0.300000,0.002828,-0.000078,0.181300
0.320000,0.062000,0.000000,0.310000,0.003168,-0.000095,0.194695
0.330000,0.064000,0.000000,0.320000,0.003567,-0.000089,0.208339
0.340000,0.066000,0.000000,0.330000,0.003902,-0.000103,0.222796
0.350000,0.068000,0.000000,0.340000,0.004252,-0.000114,0.236938
0.360000,0.070000,0.000000,0.350000,0.004660,-0.000148,0.250894
0.370000,0.072000,0.000000,0.360000,0.005054,-0.000150,0.264992
0.380000,0.074000,0.000000,0.370000,0.005464,-0.000194,0.279799
0.390000,0.076000,0.000000,0.380000,0.005942,-0.000240,0.294589
0.400000,0.078000,0.000000,0.390000,0.006445,-0.000280,0.309485
0.410000,0.080000,0.000000,0.400000,0.006882,-0.000260,0.322671
0.420000,0.082000,0.000000,0.410000,0.007303,-0.000232,0.334622
0.430000,0.084000,0.000000,0.420000,0.007714,-0.000239,0.345394
0.440000,0.086000,0.000000,0.430000,0.008077,-0.000237,0.355129
0.450000,0.088000,0.000000,0.440000,0.008378,-0.000192,0.363726
0.460000,0.090000,0.000000,0.450000,0.008657,-0.000144,0.371459
0.470000,0.092000,0.000000,0.460000,0.008912,-0.000106,0.378419
