t,target_x,target_y,target_theta,pos_x,pos_y,pos_theta,pos_w0,pos_w1,pos_w2,target_vx,target_vy,target_vtheta
0.010000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.020000,-0.000204,0.000000,0.000000,0.000000,-0.000002,-0.000016,0.544140,-0.544140,-0.000000,-0.020420,0.000000,0.000000
0.030000,-0.000613,0.000000,0.000000,-0.000009,-0.000004,-0.000090,1.088280,-1.088280,-0.000000,-0.040841,0.000000,0.000000
0.040000,-0.001225,0.000000,0.000000,-0.000040,-0.000010,-0.000157,1.632419,-1.632419,-0.000000,-0.061261,0.000000,0.000000
0.050000,-0.002042,0.000000,0.000000,-0.000104,-0.000020,-0.000274,2.176559,-2.176559,-0.000000,-0.081681,0.000000,0.000000
0.060000,-0.003063,0.000000,0.000000,-0.000217,-0.000033,-0.000453,2.720699,-2.720699,-0.000000,-0.102102,0.000000,0.000000
0.070000,-0.004288,0.000000,0.000000,-0.000390,-0.000053,-0.000707,3.264839,-3.264839,-0.000000,-0.122522,0.000000,0.000000
0.080000,-0.005718,0.000000,0.000000,-0.000650,-0.000050,-0.000758,3.808979,-3.808979,-0.000000,-0.142942,0.000000,0.000000
0.090000,-0.007351,0.000000,0.000000,-0.000986,-0.000059,-0.000897,4.353118,-4.353118,-0.000000,-0.163363,0.000000,0.000000
0.100000,-0.009189,0.000000,0.000000,-0.001368,-0.000085,-0.001570,4.897258,-4.897258,-0.000000,-0.183783,0.000000,0.000000
0.110000,-0.011231,0.000000,0.000000,-0.001800,-0.000099,-0.001725,5.441398,-5.441398,-0.000000,-0.204204,0.000000,0.000000
0.120000,-0.013273,0.000000,0.000000,-0.002322,-0.000106,-0.001888,5.441398,-5.441398,-0.000000,-0.204204,0.000000,0.000000
0.130000,-0.015315,0.000000,0.000000,-0.002950,-0.000112,-0.002028,5.441398,-5.441398,-0.000000,-0.204204,0.000000,0.000000
0.140000,-0.017357,0.000000,0.000000,-0.003714,-0.000157,-0.002988,5.441398,-5.441398,-0.000000,-0.204204,0.000000,0.000000
0.150000,-0.019399,0.000000,0.000000,-0.004567,-0.000146,-0.002511,5.441398,-5.441398,-0.000000,-0.204204,0.000000,0.000000
0.160000,-0.021441,0.000000,0.000000,-0.005415,-0.000140,-0.002594,5.441398,-5.441398,-0.000000,-0.204204,0.000000,0.000000
0.170000,-0.023483,0.000000,0.000000,-0.006328,-0.000137,-0.002692,5.441398,-5.441398,-0.000000,-0.204204,0.000000,0.000000
0.180000,-0.025525,0.000000,0.000000,-0.007306,-0.000137,-0.002812,5.441398,-5.441398,-0.000000,-0.204204,0.000000,0.000000
0.190000,-0.027567,0.000000,0.000000,-0.008360,-0.000277,-0.004329,5.441398,-5.441398,-0.000000,-0.204204,0.000000,0.000000
0.200000,-0.029610,0.000000,0.000000,-0.009440,-0.000333,-0.004903,5.441398,-5.441398,-0.000000,-0.204204,0.000000,0.000000
0.210000,-0.031652,0.000000,0.000000,-0.010581,-0.000404,-0.004971,5.441398,-5.441398,-0.000000,-0.204204,0.000000,0.000000
0.220000,-0.033694,0.000000,0.000000,-0.011731,-0.000408,-0.004999,5.441398,-5.441398,-0.000000,-0.204204,0.000000,0.000000
0.230000,-0.035736,0.000000,0.000000,-0.012959,-0.000429,-0.005934,5.441398,-5.441398,-0.000000,-0.204204,0.000000,0.000000
