t,target_q0,target_q1,target_q2,target_q3,measured_q0,measured_q1,measured_q2,measured_q3,target_o0,target_o1,target_o2,target_o3,measured_o0,measured_o1,measured_o2,measured_o3
0.010000,0.025003,-0.867415,1.684752,-2.385833,0.002500,-0.086742,0.182249,-0.245086,0.000000,0.800000,0.800000,-1.000000,0.017011,1.195318,0.982815,-0.149021
0.020000,0.017502,-0.868248,1.686081,-2.384723,0.004001,-0.164892,0.333925,-0.459597,0.006000,0.800000,0.799940,-1.000000,0.015266,1.183342,0.953926,-0.286493
0.030000,0.010003,-0.868200,1.685125,-2.384525,0.004601,-0.235223,0.467963,-0.651772,0.011998,0.800000,0.799763,-1.000000,0.014634,1.166426,0.927900,-0.406876
0.040000,0.002507,-0.868843,1.684952,-2.383303,0.004391,-0.298585,0.589056,-0.824864,0.017995,0.800000,0.799471,-1.000000,0.014967,1.146351,0.905807,-0.509319
0.050000,-0.004984,-0.868980,1.683247,-2.382528,0.003453,-0.355624,0.698246,-0.980659,0.023987,0.800000,0.799066,-1.000000,0.016117,1.124507,0.887210,-0.595621
0.060000,-0.012466,-0.870501,1.683694,-2.379874,0.001861,-0.407112,0.796697,-1.120614,0.029975,0.800000,0.798550,-1.000000,0.017949,1.101933,0.871627,-0.667636
0.070000,-0.019938,-0.871383,1.682381,-2.377824,-0.000319,-0.453539,0.885223,-1.246358,0.035957,0.800000,0.797926,-1.000000,0.020344,1.079364,0.858575,-0.727502
0.080000,-0.027398,-0.871700,1.679471,-2.376282,-0.003027,-0.495355,0.964626,-1.359365,0.041931,0.800000,0.797197,-1.000000,0.023200,1.057312,0.847641,-0.777132
0.090000,-0.034843,-0.873206,1.678366,-2.373096,-0.006208,-0.533140,1.035988,-1.460748,0.047898,0.800000,0.796365,-1.000000,0.026433,1.036132,0.838507,-0.817986
0.100000,-0.042270,-0.875184,1.677692,-2.369143,-0.009815,-0.567345,1.100151,-1.551594,0.053854,0.800000,0.795432,-1.000000,0.029973,1.016049,0.830873,-0.851473
0.110000,-0.049678,-0.876152,1.674610,-2.366230,-0.013801,-0.598225,1.157593,-1.633062,0.059800,0.800000,0.794400,-1.000000,0.033765,0.997183,0.824448,-0.878968
0.120000,-0.057064,-0.877619,1.672044,-2.362508,-0.018127,-0.626165,1.209034,-1.706011,0.065734,0.800000,0.793272,-1.000000,0.037763,0.979597,0.819021,-0.901465
0.130000,-0.064427,-0.879265,1.669390,-2.358366,-0.022757,-0.651475,1.255066,-1.771250,0.071654,0.800000,0.792051,-1.000000,0.041931,0.963304,0.814406,-0.919835
0.140000,-0.071763,-0.881067,1.666617,-2.353829,-0.027658,-0.674434,1.296217,-1.829512,0.077561,0.800000,0.790739,-1.000000,0.046242,0.948283,0.810447,-0.934812
0.150000,-0.079070,-0.883054,1.663797,-2.348858,-0.032799,-0.695296,1.332972,-1.881450,0.083451,0.800000,0.789338,-1.000000,0.050672,0.934489,0.807014,-0.947003
0.160000,-0.086348,-0.885328,1.661131,-2.343329,-0.038154,-0.714299,1.365784,-1.927642,0.089325,0.800000,0.787850,-1.000000,0.055204,0.921865,0.804003,-0.956907
0.170000,-0.093592,-0.887672,1.658226,-2.337500,-0.043698,-0.731637,1.395025,-1.968631,0.095181,0.800000,0.786278,-1.000000,0.059824,0.910342,0.801321,-0.964947
0.180000,-0.100801,-0.889023,1.653104,-2.332640,-0.049408,-0.747375,1.420830,-2.005035,0.101017,0.800000,0.784625,-1.000000,0.064520,0.899844,0.798888,-0.971524
0.190000,-0.107974,-0.891671,1.650077,-2.326004,-0.055265,-0.761805,1.443752,-2.037135,0.106834,0.800000,0.782893,-1.000000,0.069283,0.890302,0.796654,-0.976846
0.200000,-0.115108,-0.894229,1.646556,-2.319249,-0.061249,-0.775047,1.464030,-2.065350,0.112628,0.800000,0.781084,-1.000000,0.074105,0.881643,0.794569,-0.981158
0.210000,-0.122200,-0.896075,1.641406,-2.313110,-0.067344,-0.787150,1.481765,-2.090129,0.118400,0.800000,0.779200,-1.000000,0.078979,0.873793,0.792588,-0.984677
0.220000,-0.129250,-0.898993,1.637948,-2.305469,-0.073535,-0.798334,1.497381,-2.111666,0.124148,0.800000,0.777244,-1.000000,0.083901,0.866689,0.790685,-0.987516
0.230000,-0.136255,-0.900710,1.632003,-2.299008,-0.079807,-0.808572,1.510841,-2.130402,0.129870,0.800000,0.775219,-1.000000,0.088865,0.860263,0.788827,-0.989841
0.240000,-0.143212,-0.902740,1.626379,-2.291938,-0.086147,-0.817989,1.522392,-2.146559,0.135567,0.800000,0.773127,-1.000000,0.093866,0.854456,0.786995,-0.991737
0.250000,-0.150122,-0.905751,1.622303,-2.283479,-0.092545,-0.826765,1.532380,-2.160254,0.141235,0.800000,0.770970,-1.000000,0.098901,0.849215,0.785175,-0.993261
0.260000,-0.156980,-0.907523,1.615741,-2.276223,-0.098988,-0.834841,1.540714,-2.171854,0.146875,0.800000,0.768750,-1.000000,0.103967,0.844487,0.783350,-0.994512
0.270000,-0.163786,-0.909633,1.609584,-2.268327,-0.105468,-0.842320,1.547599,-2.181503,0.152485,0.800000,0.766470,-1.000000,0.109059,0.840223,0.781511,-0.995531
0.280000,-0.170539,-0.912808,1.605141,-2.258960,-0.111975,-0.849369,1.553351,-2.189251,0.158063,0.800000,0.764133,-1.000000,0.114174,0.836383,0.779650,-0.996345
0.290000,-0.177235,-0.914748,1.598294,-2.250769,-0.118501,-0.855907,1.557844,-2.195405,0.163610,0.800000,0.761741,-1.000000,0.119308,0.832925,0.777757,-0.997012
0.300000,-0.183873,-0.916678,1.591260,-2.242340,-0.125038,-0.861984,1.561184,-2.200100,0.169122,0.800000,0.759296,-1.000000,0.124460,0.829812,0.775829,-0.997558
0.310000,-0.190453,-0.918591,1.584042,-2.233681,-0.131580,-0.867646,1.563470,-2.203456,0.174600,0.800000,0.756800,-1.000000,0.129625,0.827011,0.773862,-0.998006
0.320000,-0.196972,-0.921622,1.578658,-2.223512,-0.138119,-0.873045,1.564988,-2.205460,0.180042,0.800000,0.754256,-1.000000,0.134800,0.824493,0.771852,-0.998360
0.330000,-0.203428,-0.923317,1.570779,-2.214609,-0.144650,-0.878072,1.565565,-2.206378,0.185446,0.800000,0.751667,-1.000000,0.139983,0.822229,0.769797,-0.998653
0.340000,-0.209821,-0.925079,1.562907,-2.205381,-0.151167,-0.882773,1.565297,-2.206281,0.190813,0.800000,0.749035,-1.000000,0.145170,0.820195,0.767697,-0.998894
0.350000,-0.216148,-0.926820,1.554894,-2.195931,-0.157665,-0.887177,1.564254,-2.205249,0.196139,0.800000,0.746362,-1.000000,0.150359,0.818368,0.765549,-0.999092
0.360000,-0.222409,-0.928495,1.546675,-2.186313,-0.164139,-0.891310,1.562496,-2.203354,0.201425,0.800000,0.743650,-1.000000,0.155547,0.816728,0.763355,-0.999254
0.370000,-0.228601,-0.930095,1.538248,-2.176535,-0.170586,-0.895190,1.560071,-2.200670,0.206669,0.800000,0.740902,-1.000000,0.160730,0.815256,0.761114,-0.999387
0.380000,-0.234724,-0.932823,1.531694,-2.165292,-0.176999,-0.898953,1.557232,-2.197134,0.211869,0.800000,0.738121,-1.000000,0.165907,0.813934,0.758826,-0.999490
0.390000,-0.240776,-0.934167,1.522693,-2.155330,-0.183377,-0.902475,1.553776,-2.192955,0.217026,0.800000,0.735309,-1.000000,0.171074,0.812749,0.756493,-0.999575
0.400000,-0.246756,-0.935426,1.513500,-2.145228,-0.189715,-0.905770,1.549747,-2.188185,0.222136,0.800000,0.732468,-1.000000,0.176229,0.811686,0.754115,-0.999647
0.410000,-0.252663,-0.936594,1.504117,-2.134996,-0.196010,-0.908852,1.545182,-2.182868,0.227200,0.800000,0.729600,-1.000000,0.181369,0.810733,0.751693,-0.999706
0.420000,-0.258495,-0.937674,1.494561,-2.124635,-0.202258,-0.911734,1.540118,-2.177047,0.232216,0.800000,0.726708,-1.000000,0.186492,0.809879,0.749230,-0.999755
0.430000,-0.264251,-0.938692,1.484885,-2.114122,-0.208458,-0.914430,1.534592,-2.170757,0.237182,0.800000,0.723795,-1.000000,0.191595,0.809113,0.746726,-0.999796
0.440000,-0.269931,-0.939595,1.475008,-2.103517,-0.214605,-0.916947,1.528632,-2.164035,0.242099,0.800000,0.720863,-1.000000,0.196676,0.808428,0.744184,-0.999830
0.450000,-0.275533,-0.940380,1.464936,-2.092830,-0.220698,-0.919290,1.522260,-2.156918,0.246963,0.800000,0.717914,-1.000000,0.201732,0.807814,0.741604,-0.999858
0.460000,-0.281056,-0.941044,1.454673,-2.082068,-0.226734,-0.921465,1.515498,-2.149435,0.251775,0.800000,0.714950,-1.000000,0.206762,0.807264,0.738989,-0.999882
0.470000,-0.286499,-0.941585,1.444226,-2.071237,-0.232710,-0.923477,1.508368,-2.141619,0.256533,0.800000,0.711974,-1.000000,0.211762,0.806771,0.736341,-0.999901
0.480000,-0.291861,-0.942002,1.433601,-2.060347,-0.238625,-0.925330,1.500890,-2.133494,0.261235,0.800000,0.708989,-1.000000,0.216731,0.806330,0.733662,-0.999917
0.490000,-0.297141,-0.942294,1.422805,-2.049404,-0.244477,-0.927026,1.493079,-2.125087,0.265882,0.800000,0.705997,-1.000000,0.221667,0.805935,0.730954,-0.999931
0.500000,-0.302338,-0.942459,1.411845,-2.038415,-0.250263,-0.928570,1.484954,-2.116422,0.270470,0.800000,0.703000,-1.000000,0.226567,0.805581,0.728218,-0.999942
0.510000,-0.307452,-0.942497,1.400728,-2.027389,-0.255982,-0.929962,1.476529,-2.107521,0.275000,0.800000,0.700000,-1.000000,0.231430,0.805264,0.725458,-0.999952
0.520000,-0.312481,-0.942407,1.389461,-2.016334,-0.261632,-0.931207,1.467819,-2.098405,0.279470,0.800000,0.697000,-1.000000,0.236254,0.804980,0.722674,-0.999959
0.530000,-0.317424,-0.942189,1.378051,-2.005256,-0.267211,-0.932305,1.458840,-2.089094,0.283878,0.800000,0.694003,-1.000000,0.241035,0.804724,0.719870,-0.999966
0.540000,-0.322282,-0.941844,1.366508,-1.994164,-0.272718,-0.933259,1.449604,-2.079604,0.288225,0.800000,0.691011,-1.000000,0.245774,0.804495,0.717048,-0.999972
0.550000,-0.327052,-0.941371,1.354837,-1.983066,-0.278151,-0.934070,1.440125,-2.069953,0.292507,0.800000,0.688026,-1.000000,0.250467,0.804289,0.714210,-0.999976
0.560000,-0.331735,-0.940773,1.343050,-1.971970,-0.283510,-0.934740,1.430415,-2.060157,0.296725,0.800000,0.685050,-1.000000,0.255114,0.804103,0.711358,-0.999980
0.570000,-0.336329,-0.940050,1.331154,-1.960884,-0.288792,-0.935271,1.420486,-2.050232,0.300877,0.800000,0.682086,-1.000000,0.259711,0.803936,0.708495,-0.999983
0.580000,-0.340834,-0.939203,1.319158,-1.949815,-0.293996,-0.935665,1.410351,-2.040194,0.304961,0.800000,0.679137,-1.000000,0.264258,0.803785,0.705623,-0.999986
0.590000,-0.345249,-0.938234,1.307073,-1.938773,-0.299121,-0.935922,1.400020,-2.030055,0.308978,0.800000,0.676205,-1.000000,0.268753,0.803648,0.702744,-0.999988
0.600000,-0.349574,-0.937147,1.294908,-1.927765,-0.304167,-0.936044,1.389505,-2.019829,0.312924,0.800000,0.673292,-1.000000,0.273194,0.803523,0.699860,-0.999990
0.610000,-0.353807,-0.935942,1.282673,-1.916799,-0.309131,-0.936034,1.378820,-2.009529,0.316800,0.800000,0.670400,-1.000000,0.277580,0.803410,0.696975,-0.999992
0.620000,-0.357949,-0.934624,1.270382,-1.905884,-0.314013,-0.935893,1.367973,-1.999168,0.320604,0.800000,0.667532,-1.000000,0.281908,0.803306,0.694091,-0.999993
0.630000,-0.361998,-0.933196,1.258043,-1.895029,-0.318811,-0.935623,1.356977,-1.988757,0.324334,0.800000,0.664691,-1.000000,0.286177,0.803211,0.691209,-0.999994
0.640000,-0.365954,-0.931660,1.245670,-1.884242,-0.323525,-0.935227,1.345843,-1.978309,0.327991,0.800000,0.661879,-1.000000,0.290387,0.803122,0.688333,-0.999995
0.650000,-0.369816,-0.930023,1.233276,-1.873532,-0.328154,-0.934706,1.334583,-1.967835,0.331571,0.800000,0.659098,-1.000000,0.294534,0.803041,0.685465,-0.999996
0.660000,-0.373584,-0.928287,1.220872,-1.862908,-0.332697,-0.934064,1.323209,-1.957345,0.335075,0.800000,0.656350,-1.000000,0.298618,0.802965,0.682607,-0.999997
0.670000,-0.377256,-0.926457,1.208473,-1.852378,-0.337153,-0.933304,1.311732,-1.946851,0.338501,0.800000,0.653638,-1.000000,0.302637,0.802893,0.679762,-0.999997
0.680000,-0.380834,-0.924540,1.196094,-1.841953,-0.341521,-0.932427,1.300165,-1.936365,0.341847,0.800000,0.650965,-1.000000,0.306590,0.802826,0.676931,-0.999998
0.690000,-0.384315,-0.922540,1.183748,-1.831641,-0.345801,-0.931439,1.288520,-1.925896,0.345114,0.800000,0.648333,-1.000000,0.310475,0.802761,0.674119,-0.999998
0.700000,-0.387700,-0.920463,1.171451,-1.821452,-0.349991,-0.930341,1.276809,-1.915456,0.348298,0.800000,0.645744,-1.000000,0.314290,0.802699,0.671326,-0.999998
0.710000,-0.390987,-0.918315,1.159219,-1.811397,-0.354090,-0.929138,1.265047,-1.905053,0.351400,0.800000,0.643200,-1.000000,0.318035,0.802640,0.668557,-0.999999
0.720000,-0.394177,-0.916104,1.147069,-1.801485,-0.358099,-0.927835,1.253245,-1.894700,0.354418,0.800000,0.640704,-1.000000,0.321708,0.802583,0.665812,-0.999999
0.730000,-0.397268,-0.913835,1.135018,-1.791726,-0.362016,-0.926435,1.241419,-1.884406,0.357350,0.800000,0.638259,-1.000000,0.325308,0.802527,0.663095,-0.999999
0.740000,-0.400260,-0.911518,1.123083,-1.782132,-0.365840,-0.924943,1.229581,-1.874183,0.360197,0.800000,0.635867,-1.000000,0.328832,0.802471,0.660408,-0.999999
0.750000,-0.403153,-0.909158,1.111284,-1.772714,-0.369572,-0.923365,1.217748,-1.864039,0.362955,0.800000,0.633530,-1.000000,0.332281,0.802417,0.657754,-0.999999
0.760000,-0.405946,-0.906765,1.099639,-1.763481,-0.373209,-0.921705,1.205934,-1.853986,0.365625,0.800000,0.631250,-1.000000,0.335651,0.802363,0.655135,-0.999999
0.770000,-0.408638,-0.904346,1.088169,-1.754447,-0.376752,-0.919969,1.194153,-1.844036,0.368205,0.800000,0.629030,-1.000000,0.338943,0.802309,0.652554,-1.000000
